IdMulta;IdFalta;CodigoFalta;TipoFormato;NivelGravedad;IdTiempo;Anio;Mes;MultasImpuestas;ImporteImpuesto;ReincidenciaImpuesta
9728;178;L06;Papeleta de Tránsito;L;16;2023;4;49;9702;396
9729;207;M18;Papeleta de Tránsito;M;21;2023;9;171;101574;2970
9730;212;M20b;Papeleta Electrónica;M;18;2023;6;9;10692;0
9731;212;M20b;Papeleta Electrónica;M;15;2023;3;1;1188;0
9732;25;G04;Papeleta de Tránsito;G;16;2023;4;23;9108;0
9733;183;M03;Papeleta de Tránsito;M;14;2023;2;13;32175;0
9734;136;G55;Papeleta de Tránsito;G;17;2023;5;1;396;0
9735;138;G56;Papeleta Electrónica;G;20;2023;8;4;1584;0
9736;61;G19;Papeleta de Tránsito;G;16;2023;4;1;396;0
9737;237;M40;Papeleta de Tránsito;M;17;2023;5;1;1685;0
9738;35;G09;Papeleta de Tránsito;G;18;2023;6;2;792;0
9739;225;M27;Papeleta de Tránsito;M;16;2023;4;1;2475;0
9740;182;M02;Papeleta de Tránsito;M;18;2023;6;3;7425;0
9741;134;G54;Papeleta de Tránsito;G;20;2023;8;8;3168;0
9742;183;M03;Papeleta de Tránsito;M;16;2023;4;46;113850;0
9743;63;G21;Papeleta de Tránsito;G;17;2023;5;2;792;0
9744;184;M04;Papeleta de Tránsito;M;16;2023;4;1;4950;4950
9745;226;M28;Papeleta de Tránsito;M;15;2023;3;27;16038;0
9746;59;G18b;Papeleta de Tránsito;G;22;2023;10;1;396;0
9747;212;M20b;Papeleta Electrónica;M;16;2023;4;43;51084;2376
9748;225;M27;Papeleta de Tránsito;M;19;2023;7;2;4950;0
9749;139;G56;Papeleta de Tránsito;G;15;2023;3;1;396;0
9750;143;G57;Papeleta de Tránsito;G;17;2023;5;2;792;0
